Name,System
Mississippi,Mississippi
Missouri,Mississippi
St. Clair,St. Lawrence
Willamette,Columbia
Cumberland,Mississippi
Penobscot,
Souris,Nelson/Saskatchewan
Clark Fork,Columbia
Porcupine,Yukon
Alabama,
Arkansas,Mississippi
Bear,
Brazos,
Green,Colorado
Gila,Colorado
Canadian,Mississippi
Illinois,Mississippi
Kings,
Hudson,
Chattahoochee,
Platte,Mississippi
Connecticut,
Flathead,Columbia
Klamath,
Niagara,St. Lawrence
North Platte,Mississippi
Pend Oreille,Columbia
Colorado,Colorado
Pee Dee,
Columbia,Columbia
Potomac,
Pecos,Rio Grande
Susquehanna,
Rainy,St. Lawrence
St. Johns,
Ohio,Mississippi
Sacramento,
Salt,Colorado
Red,Mississippi
San Joaquin,
Susitina,
Red River of the North,Nelson/Saskatchewan
Richelieu,St. Lawrence
Rio Grande,Rio Grande
St. John,
Savannah,
St. Lawrence,St. Lawrence
Wisconsin,Mississippi
Snake,Columbia
Tennessee,Mississippi
Yellowstone,Mississippi
Colville,
Koyukuk,Yukon
Kuskokwim,
Stikine,
Yukon,Yukon
